time,main_river_channel.storage,branch1_channel.output,branch2_pipe.output,regulating_reservoir.storage,total_outflow.output
357.0,4890.488517743552,445.95265004672785,nan,nan,nan
358.0,4891.583632566117,446.00362116097244,nan,nan,nan
359.0,4892.667796240456,446.0540768251211,nan,nan,nan
360.0,4893.741118278051,446.1040223097897,nan,nan,nan
361.0,4894.8037070952705,446.1534628305193,nan,nan,nan
362.0,4895.855670024318,446.20240354837614,nan,nan,nan
363.0,4896.897113324075,446.250849570544,nan,nan,nan
364.0,4897.9281421908345,446.29880595091004,nan,nan,nan
365.0,4898.948860768926,446.34627769064355,nan,nan,nan
366.0,4899.959372161237,446.393269738768,nan,nan,nan
367.0,4900.959778439625,446.4397869927269,nan,nan,nan
368.0,4901.950180655228,446.4858342989418,nan,nan,nan
369.0,4902.930678848676,446.5314164533655,nan,nan,nan
